Index,MRTStopsName,MRTLat,MRTLng
0,STN Bukit Panjang,1.3783154,103.76246
1,STN Bedok,1.3239138,103.93117
2,STN Choa Chu Kang,1.3853846,103.74434
3,STN Bartley,1.3422592,103.88029
4,STN Novena,1.3204553,103.84379
5,STN Pioneer,1.337583,103.69741
6,STN Ang Mo Kio,1.3699718,103.84959
7,STN Paya Lebar,1.3186024,103.89212
8,STN Woodlands,1.4369416,103.78639
9,STN Pasir Ris,1.3731912,103.949356
10,STN Serangoon,1.3497384,103.87362
11,STN Boon Keng,1.3200748,103.86185
12,STN Admiralty,1.440613,103.800964
13,STN Clementi,1.3153441,103.76537
14,STN Eunos,1.3206564,103.904915
15,STN Lakeside,1.344243,103.72077
16,STN Boon Lay,1.3385559,103.705826
17,STN South VIEW,1.380286,103.7452
18,STN Tongkang,1.389286,103.88615
19,STN Fajar,1.3845856,103.7708
20,STN Bukit Batok,1.3589147,103.75183
21,STN Sembawang,1.449262,103.81979
22,STN Kovan,1.3601435,103.88536
23,STN Yew Tee,1.3974117,103.74751
24,STN Hougang,1.3713312,103.89255
25,STN Cove,1.399298,103.90634
26,STN Yishun,1.4292661,103.83516
27,STN Newton,1.3124799,103.83803
28,STN Compassvale,1.3944978,103.90044
29,STN Phoenix,1.378468,103.75762
30,STN Simei,1.3431973,103.95338
31,STN Commonwealth,1.3023957,103.79832
32,STN Buangkok,1.3831446,103.893105
33,STN Tanah Merah,1.3272444,103.94649
34,STN Oasis,1.401626,103.913704
35,STN Tiong Bahru,1.2864774,103.827
36,STN Rumbia,1.3910944,103.9063
37,STN Lorong Chuan,1.3515466,103.86461
38,STN Jurong East,1.3331306,103.74209
39,STN Sengkang,1.3915277,103.89542
40,STN Queenstown,1.2948352,103.8059
41,STN Petir,1.3773228,103.767265
42,STN Bukit Gombak,1.3589147,103.75183
43,STN Kallang,1.3114784,103.87135
44,STN Aljunied,1.3164593,103.88309
45,STN Little India,1.3066132,103.84918
46,STN Raffles Place,1.2830173,103.85133
47,STN Yio Chu Kang,1.3817217,103.84493
48,STN Lavender,1.3078275,103.86338
49,STN Khatib,1.4173483,103.83297
50,STN Mountbatten,1.3060844,103.883156
51,STN Bakau,1.3880084,103.905426
52,STN Toa Payoh,1.3323298,103.84743
53,STN Bishan,1.3510417,103.84993
54,STN Farrer Park,1.3122257,103.854294
55,STN Punggol,1.40517,103.90236
56,STN Somerset,1.3006433,103.838524
57,STN Redhill,1.2896276,103.816765
58,STN Dhoby Ghaut,1.299293,103.84533
59,STN Dover,1.3113761,103.7787
60,STN Senja,1.3826994,103.7624
61,STN Changi Airport,1.3576001,103.98849
62,STN Kranji,1.4252268,103.76203
63,STN Tampines,1.3546232,103.942665
64,STN Chinatown,1.2847875,103.84393
65,STN Segar,1.3878645,103.76953
66,STN Marymount,1.3490142,103.839096
67,STN HarbourFront,1.2656038,103.820854
68,STN Meridian,1.3969023,103.90887
69,STN Outram Park,1.280214,103.840256
70,STN Marsiling,1.4325578,103.77416
71,STN Kembangan,1.3209724,103.91341
72,STN Ranggung,1.3840212,103.897415
73,STN Tanjong Pagar,1.2763433,103.84678
74,STN Braddell,1.3405397,103.84708
75,STN Bras Basah,1.296946,103.85074
76,STN Renjong,1.3866901,103.890526
77,STN Holland Village,1.3114306,103.796074
78,STN Harbour Front,1.2656038,103.820854
79,STN Kangkar,1.383899,103.902176
80,STN Kadaloor,1.3995025,103.91653
81,STN Expo,1.3345002,103.96175
82,STN Pending,1.3762037,103.7713
83,STN Damai,1.405283,103.9078
84,STN Teck Whye,1.376823,103.75291
85,STN Bugis,1.301099,103.85612
86,STN Bangkit,1.380215,103.772575
87,STN Jelapang,1.3867911,103.764915
88,STN one-north,1.3003469,103.78858
89,STN MacPherson,1.3249716,103.89037
90,STN City Hall,1.293076,103.852066
91,STN Riviera,1.3944947,103.91607
92,STN Orchard,1.3040084,103.83178
93,STN Marina Bay,1.2765211,103.8547
94,STN Potong Pasir,1.3313247,103.86892
95,STN Botanic Gardens,1.3226928,103.814285
96,STN Fernvale,1.3919085,103.876236
97,STN Labrador Park,1.272126,103.80256
98,STN Pasir Panjang,1.276033,103.7919
99,STN Farmway,1.397272,103.888954
100,STN Keat Hong,1.378686,103.74895
101,STN Woodleigh,1.3391274,103.870735
102,STN Kent Ridge,1.2924896,103.78488
103,STN Telok Blangah,1.2707152,103.809875
104,STN Coral Edge,1.3944942,103.912094
105,STN Chinese Garden,1.3423961,103.732574
106,STN Dakota,1.30841,103.88882
107,STN Farrer Road,1.3178016,103.80772
108,STN Caldecott,1.3373568,103.83941
109,STN Haw Par Villa,1.2830842,103.78198
110,STN Nicoll Highway,1.3002399,103.86358
111,STN Buona Vista,1.3064982,103.79058
112,STN Clarke Quay,1.288477,103.846756
113,STN Promenade,1.2940121,103.86037
114,STN Ten Mile Junctio,1.3809506,103.76037
115,STN Tai Seng,1.3358756,103.88772
116,STN Esplanade,1.2939413,103.85538
117,STN Joo Koon,1.3277513,103.678314
118,STN Layar,1.3921295,103.879974
119,STN Bayfront,1.2813386,103.858955
120,STN Stadium,1.3027829,103.875404
121,STN Thanggam,1.397371,103.87542
